City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
141,Ipu,BR,81.73,moderate rain,-4.3222,-40.7108,Our hostel Corner
144,Matara,LK,77.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
145,San Policarpo,PH,80.4,broken clouds,12.1791,125.5072,Agapita M. Nicart
149,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
150,Arraial Do Cabo,BR,70.81,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
152,Siavonga,ZM,82.63,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
154,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
157,Sinnamary,GF,78.31,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
162,Labuhan,ID,80.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
163,Gat,IL,83.08,broken clouds,31.61,34.7642,OlusHome
164,Mabay,PH,77.25,broken clouds,6.0577,124.4666,Bautista Lodging House
166,West Bay,KY,81.07,broken clouds,19.3667,-81.4167,Calypso Cove
167,Sokoni,TZ,79.66,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
172,Emerald,AU,73.35,overcast clouds,-23.5333,148.1667,The Irish Village
173,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
181,Lorengau,PG,81.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
190,Laguna,US,70.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
191,Fare,PF,78.37,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
192,Mwingi,KE,70.84,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
193,Benguela,AO,73.31,broken clouds,-12.5763,13.4055,Hotel Praia Morena
195,Adrar,MR,85.75,overcast clouds,20.5022,-10.0711,
197,Morondava,MG,71.87,scattered clouds,-20.2833,44.2833,La Case Bambou
200,Estacion Coahuila,MX,90.97,clear sky,32.1939,-115.0017,carroceria y pintura Kikones
201,Aitape,PG,80.02,moderate rain,-3.1374,142.3475,
203,Kavieng,PG,84.76,light rain,-2.5744,150.7967,Nusa Island Retreat
206,Port Antonio,JM,84.11,scattered clouds,18.18,-76.4612,The Trident Hotel
208,Poum,NC,75.56,scattered clouds,-20.2333,164.0167,Gîte kajeon
212,Barentu,ER,77.81,scattered clouds,15.1139,37.5928,
214,Cabo San Lucas,MX,86.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
215,Gao,ML,84.99,broken clouds,16.6362,1.637,
216,Kidal,ML,85.6,overcast clouds,18.4411,1.4078,
217,Alta Floresta,BR,75.69,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
219,Vaitape,PF,78.73,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
221,Umm Lajj,SA,84.94,overcast clouds,25.0213,37.2685,Moon light Furnished Units
223,Rafraf,TN,70.12,broken clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
224,Mana,GF,78.78,broken clouds,5.6592,-53.7767,LE SAMANA
227,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
