City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Sisophon,KH,13.5859,102.9737,75.25,94,92,3.67,overcast clouds
239,Maba,CN,24.6841,113.5984,63.23,97,100,2.08,light rain
240,Deputatskiy,RU,69.3,139.9,-9.11,82,100,2.24,overcast clouds
241,Solnechnyy,RU,50.7214,136.6319,23.86,67,1,2.75,clear sky
242,Leh,IN,34.1667,77.5833,24.82,55,99,1.88,overcast clouds
243,Inhambane,MZ,-23.865,35.3833,70.0,81,29,3.15,scattered clouds
244,Veraval,IN,20.9,70.3667,75.9,42,17,7.11,few clouds
245,Airai,TL,-8.9266,125.4092,61.77,76,76,1.61,broken clouds
246,Krasnoznamensk,RU,55.5994,37.0386,40.69,87,23,11.18,few clouds
247,Nouadhibou,MR,20.931,-17.0347,69.78,83,4,8.05,clear sky
248,Pisco,PE,-13.7,-76.2167,66.25,72,0,21.85,clear sky
249,Forestville,US,38.8451,-76.875,62.65,65,75,14.97,broken clouds
250,Balabac,PH,7.9868,117.0645,82.4,79,100,17.6,overcast clouds
251,Korla,CN,41.7597,86.1469,47.08,27,9,5.84,clear sky
252,Kang,BW,-23.6752,22.7876,75.04,21,0,7.58,clear sky
253,Katsuura,JP,35.1333,140.3,61.2,86,89,6.89,overcast clouds
254,Ferme-Neuve,CA,46.7001,-75.4493,49.78,96,100,8.41,overcast clouds
255,Saurimo,AO,-9.6608,20.3916,64.02,89,95,2.98,overcast clouds
256,Westport,US,41.1415,-73.3579,62.98,73,90,1.99,overcast clouds
257,Aripuana,BR,-9.1667,-60.6333,79.77,74,99,1.74,overcast clouds
258,Grindavik,IS,63.8424,-22.4338,35.55,86,75,23.02,broken clouds
259,Juan Aldama,MX,24.2908,-103.3944,73.96,22,21,5.95,few clouds
260,Port Blair,IN,11.6667,92.75,79.86,82,83,1.59,broken clouds
261,Tabuk,PH,17.4189,121.4443,70.32,89,29,3.06,scattered clouds
262,Te Anau,NZ,-45.4167,167.7167,53.67,65,74,6.58,broken clouds
263,Belgaum,IN,15.8667,74.5,72.18,80,100,4.72,overcast clouds
264,Kenai,US,60.5544,-151.2583,45.14,77,75,9.22,broken clouds
265,Shar,KZ,49.5886,81.0453,32.25,71,99,8.43,overcast clouds
266,Vasto,IT,42.1243,14.7059,57.56,86,95,2.62,overcast clouds
267,Adre,TD,13.4667,22.2,83.7,20,82,14.9,broken clouds
268,Ha Giang,VN,22.8333,104.9833,69.75,99,100,1.14,overcast clouds
269,Cantagallo,CO,7.376,-73.9196,80.19,85,81,2.55,broken clouds
270,Lata,PT,40.1629,-8.3327,64.92,98,100,6.17,overcast clouds
271,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,68,40,4.47,scattered clouds
272,Dori,BF,14.0354,-0.0345,89.24,13,76,9.55,broken clouds
273,Hay River,CA,60.8156,-115.7999,39.18,52,40,8.05,scattered clouds
274,Basco,PH,20.4487,121.9702,81.03,69,100,20.92,overcast clouds
275,Tasiilaq,GL,65.6145,-37.6368,24.96,59,62,5.59,broken clouds
276,Pochutla,MX,15.7432,-96.4661,85.82,72,77,3.42,broken clouds
277,Bandarbeyla,SO,9.4942,50.8122,78.46,78,30,12.66,scattered clouds
278,Ambon,ID,-3.6954,128.1814,75.34,94,20,6.91,few clouds
279,Nome,US,64.5011,-165.4064,23.07,75,1,8.05,clear sky
280,Bandiagara,ML,14.3501,-3.6104,89.83,16,58,7.36,broken clouds
281,Lompoc,US,34.6391,-120.4579,72.01,62,1,14.97,clear sky
282,Coquimbo,CL,-29.9533,-71.3436,60.53,72,75,11.5,broken clouds
283,Kahului,US,20.8947,-156.47,84.97,63,20,13.8,few clouds
284,Joshimath,IN,30.5667,79.5667,49.23,39,0,5.01,clear sky
285,Poya,NC,-21.35,165.15,77.5,54,4,5.77,clear sky
286,Harbour Breton,CA,47.4833,-55.7983,46.99,89,100,14.58,overcast clouds
287,Murray Bridge,AU,-35.1167,139.2667,72.48,32,14,8.23,few clouds
288,Kushnarenkovo,RU,55.105,55.3508,46.33,90,74,9.04,broken clouds
289,Nakhon Thai,TH,17.1006,100.8374,72.64,97,100,1.97,overcast clouds
290,Saldanha,ZA,-33.0117,17.9442,60.85,82,98,9.22,light rain
291,Saint-Augustin,CA,51.226,-58.6502,45.01,67,97,5.21,overcast clouds
292,Codrington,AU,-38.2667,141.9667,53.2,80,8,4.68,clear sky
293,Homer,US,59.6425,-151.5483,49.77,71,75,9.22,light rain
294,Kayes,ML,14.0,-11.0,86.58,39,68,4.7,broken clouds
295,Odweyne,SO,9.4092,45.064,73.94,57,98,5.99,overcast clouds
296,Anchorage,US,61.2181,-149.9003,45.86,74,20,8.99,few clouds
297,Quelimane,MZ,-17.8786,36.8883,78.75,83,20,8.05,few clouds
298,Saint-Pierre,RE,-21.3393,55.4781,69.48,75,0,4.61,clear sky
299,Flagstaff,US,35.1981,-111.6513,67.14,34,1,8.99,clear sky
300,Kurilsk,RU,45.2333,147.8833,45.64,90,84,14.43,broken clouds
301,Moron,AR,-34.6534,-58.6198,67.69,79,93,7.0,light rain
302,Eureka,US,40.8021,-124.1637,67.68,65,75,7.0,broken clouds
303,Banikoara,BJ,11.2985,2.4386,78.84,28,91,4.23,overcast clouds
304,Rumburk,CZ,50.9515,14.557,52.92,71,13,18.59,few clouds
