City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
29,Thoen,TH,2021-10-29 06:10:16,17.6129,99.2161,82.56,90,78,2.82
30,Hilo,US,2021-10-29 06:06:13,19.7297,-155.09,71.33,80,1,4.61
31,Erenhot,CN,2021-10-29 06:11:02,43.6475,111.9767,54.64,24,23,15.66
32,Vostok,RU,2021-10-29 06:11:03,46.4856,135.8833,43.5,56,1,3.78
33,Airai,TL,2021-10-29 06:11:04,-8.9266,125.4092,74.97,60,86,2.53
34,Springdale,US,2021-10-29 06:11:04,36.1867,-94.1288,47.93,96,90,18.01
35,Chokurdakh,RU,2021-10-29 06:11:05,70.6333,147.9167,-2.13,93,100,4.0
36,Salinopolis,BR,2021-10-29 06:11:05,-0.6136,-47.3561,77.41,87,68,6.46
37,Puerto Ayora,EC,2021-10-29 06:11:06,-0.7393,-90.3518,69.35,88,94,9.28
38,Faanui,PF,2021-10-29 06:11:06,-16.4833,-151.75,76.98,87,97,16.28
39,Tiksi,RU,2021-10-29 06:11:07,71.6872,128.8694,11.17,94,100,4.74
40,Husavik,IS,2021-10-29 06:11:07,66.0449,-17.3389,40.21,97,100,22.57
41,Khandyga,RU,2021-10-29 06:11:08,62.6667,135.6,19.96,92,100,6.49
42,Isangel,VU,2021-10-29 06:11:08,-19.55,169.2667,77.2,80,35,11.54
43,Arraial Do Cabo,BR,2021-10-29 06:11:09,-22.9661,-42.0278,70.75,91,100,13.09
44,Malakal,SS,2021-10-29 06:11:09,9.5334,31.6605,82.67,59,19,1.72
45,Bubaque,GW,2021-10-29 06:11:10,11.2833,-15.8333,80.98,69,88,9.08
46,Cleveland,US,2021-10-29 06:08:32,41.4995,-81.6954,57.38,92,90,9.22
47,Rantepao,ID,2021-10-29 06:11:11,-2.9701,119.8978,78.21,85,61,2.77
48,Launceston,AU,2021-10-29 06:12:11,-41.45,147.1667,54.81,71,90,3.0
49,Rikitea,PF,2021-10-29 06:12:12,-23.1203,-134.9692,75.51,80,32,14.94
50,Mayor Pablo Lagerenza,PY,2021-10-29 06:12:13,-19.9309,-60.7718,82.6,46,74,6.8
51,Mataura,NZ,2021-10-29 06:12:13,-46.1927,168.8643,62.51,73,64,3.24
52,Mogadishu,SO,2021-10-29 06:12:14,2.0371,45.3438,81.37,72,53,7.2
53,Cairns,AU,2021-10-29 06:11:13,-16.9167,145.7667,90.95,63,15,10.36
54,Torbay,CA,2021-10-29 06:12:15,47.6666,-52.7314,39.58,93,90,14.97
55,Alofi,NU,2021-10-29 06:12:16,-19.0595,-169.9187,77.14,68,13,22.06
56,Hermanus,ZA,2021-10-29 06:12:16,-34.4187,19.2345,67.8,71,6,6.93
57,Barrow,US,2021-10-29 06:12:17,71.2906,-156.7887,-0.38,85,1,12.66
58,Nome,US,2021-10-29 06:12:17,64.5011,-165.4064,30.27,59,90,19.57
59,Komsomolskiy,UZ,2021-10-29 06:12:18,40.4272,71.7189,50.72,62,40,4.61
60,Tuktoyaktuk,CA,2021-10-29 06:12:18,69.4541,-133.0374,25.0,94,100,3.4
61,Qaanaaq,GL,2021-10-29 06:12:19,77.484,-69.3632,14.65,77,79,6.93
62,Paamiut,GL,2021-10-29 06:12:19,61.994,-49.6678,33.46,81,100,8.52
63,Noshiro,JP,2021-10-29 06:12:20,40.2039,140.0242,56.8,65,85,9.66
64,Mar Del Plata,AR,2021-10-29 06:12:21,-38.0023,-57.5575,65.08,83,0,1.01
65,Bethel,US,2021-10-29 06:12:21,41.3712,-73.414,49.5,90,1,0.0
66,Fort Nelson,CA,2021-10-29 06:12:22,58.8053,-122.7002,32.07,59,100,5.14
